  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.90 Mb/s In     0.04 Mb/s Out -     87.0 p/s In      72.0 p/s Out
  s1-eth2:     1.06 Mb/s In     0.02 Mb/s Out -     56.0 p/s In      41.0 p/s Out
  s1-eth3:     0.89 Mb/s In     0.02 Mb/s Out -     48.0 p/s In      35.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.88 Mb/s Out -     75.0 p/s In      86.0 p/s Out
  s1-eth5:     0.02 Mb/s In     0.99 Mb/s Out -     40.0 p/s In      53.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.91 Mb/s Out -     36.0 p/s In      48.0 p/s Out
1648366978 total:        3.72 Mb/s In     3.63 Mb/s Out -    346.0 p/s In     334.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     20.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.26 Mb/s In     0.03 Mb/s Out -     61.0 p/s In      48.0 p/s Out
  s1-eth2:     0.96 Mb/s In     0.02 Mb/s Out -     50.0 p/s In      42.0 p/s Out
  s1-eth3:     1.40 Mb/s In     0.03 Mb/s Out -     68.0 p/s In      51.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.24 Mb/s Out -     47.0 p/s In      60.0 p/s Out
  s1-eth5:     0.03 Mb/s In     0.96 Mb/s Out -     45.0 p/s In      49.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.33 Mb/s Out -     55.0 p/s In      64.0 p/s Out
1648366979 total:        2.75 Mb/s In     2.69 Mb/s Out -    269.0 p/s In     263.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.54 Mb/s In     0.01 Mb/s Out -     40.0 p/s In      23.0 p/s Out
  s1-eth2:     1.09 Mb/s In     0.02 Mb/s Out -     53.0 p/s In      46.0 p/s Out
  s1-eth3:     1.05 Mb/s In     0.02 Mb/s Out -     49.0 p/s In      37.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.51 Mb/s Out -     24.0 p/s In      38.0 p/s Out
  s1-eth5:     0.02 Mb/s In     1.08 Mb/s Out -     44.0 p/s In      53.0 p/s Out
  s1-eth6:     0.02 Mb/s In     1.02 Mb/s Out -     40.0 p/s In      48.0 p/s Out
1648366980 total:        2.19 Mb/s In     2.73 Mb/s Out -    231.0 p/s In     377.0 p/s Out
    ens4:     0.02 Mb/s In     0.68 Mb/s Out -     22.0 p/s In     175.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.37 Mb/s In     0.01 Mb/s Out -     23.0 p/s In      16.0 p/s Out
  s1-eth2:     1.22 Mb/s In     0.03 Mb/s Out -     60.0 p/s In      49.0 p/s Out
  s1-eth3:     0.53 Mb/s In     0.01 Mb/s Out -     37.0 p/s In      24.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.35 Mb/s Out -     15.0 p/s In      22.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.18 Mb/s Out -     50.0 p/s In      57.0 p/s Out
  s1-eth6:     0.01 Mb/s In     0.48 Mb/s Out -     24.0 p/s In      34.0 p/s Out
1648366981 total:        1.87 Mb/s In     1.79 Mb/s Out -    195.0 p/s In     188.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     21.0 p/s In      21.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.01 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth2:     0.61 Mb/s In     0.01 Mb/s Out -     39.0 p/s In      25.0 p/s Out
  s1-eth3:     1.19 Mb/s In     0.03 Mb/s Out -     59.0 p/s In      48.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth5:     0.01 Mb/s In     0.60 Mb/s Out -     26.0 p/s In      38.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.12 Mb/s Out -     48.0 p/s In      55.0 p/s Out
1648366982 total:        2.84 Mb/s In     2.75 Mb/s Out -    273.0 p/s In     269.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     22.0 p/s In      23.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.79 Mb/s In     0.02 Mb/s Out -     42.0 p/s In      34.0 p/s Out
  s1-eth2:     0.90 Mb/s In     0.02 Mb/s Out -     42.0 p/s In      32.0 p/s Out
  s1-eth3:     1.07 Mb/s In     0.02 Mb/s Out -     57.0 p/s In      41.0 p/s Out
  s1-eth4:     0.02 Mb/s In     0.69 Mb/s Out -     34.0 p/s In      38.0 p/s Out
  s1-eth5:     0.02 Mb/s In     0.93 Mb/s Out -     35.0 p/s In      44.0 p/s Out
  s1-eth6:     0.02 Mb/s In     1.05 Mb/s Out -     41.0 p/s In      57.0 p/s Out
1648366983 total:        5.37 Mb/s In     5.35 Mb/s Out -    487.0 p/s In     484.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      19.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.53 Mb/s In     0.05 Mb/s Out -    113.0 p/s In      99.0 p/s Out
  s1-eth2:     1.56 Mb/s In     0.03 Mb/s Out -     78.0 p/s In      63.0 p/s Out
  s1-eth3:     1.16 Mb/s In     0.03 Mb/s Out -     61.0 p/s In      47.0 p/s Out
  s1-eth4:     0.06 Mb/s In     2.59 Mb/s Out -    103.0 p/s In     116.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.50 Mb/s Out -     63.0 p/s In      77.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.13 Mb/s Out -     50.0 p/s In      63.0 p/s Out
1648366984 total:        4.45 Mb/s In     4.40 Mb/s Out -    416.0 p/s In     429.0 p/s Out
    ens4:     0.06 Mb/s In     0.03 Mb/s Out -     28.0 p/s In      30.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.94 Mb/s In     0.04 Mb/s Out -     92.0 p/s In      76.0 p/s Out
  s1-eth2:     0.94 Mb/s In     0.03 Mb/s Out -     49.0 p/s In      46.0 p/s Out
  s1-eth3:     1.42 Mb/s In     0.03 Mb/s Out -     70.0 p/s In      59.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.94 Mb/s Out -     78.0 p/s In      96.0 p/s Out
  s1-eth5:     0.02 Mb/s In     0.98 Mb/s Out -     43.0 p/s In      53.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.36 Mb/s Out -     56.0 p/s In      69.0 p/s Out
1648366985 total:        3.49 Mb/s In     3.33 Mb/s Out -    339.0 p/s In     333.0 p/s Out
    ens4:     0.06 Mb/s In     0.02 Mb/s Out -     25.0 p/s In      29.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.40 Mb/s In     0.03 Mb/s Out -     68.0 p/s In      56.0 p/s Out
  s1-eth2:     1.05 Mb/s In     0.02 Mb/s Out -     58.0 p/s In      42.0 p/s Out
  s1-eth3:     0.91 Mb/s In     0.02 Mb/s Out -     48.0 p/s In      40.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.34 Mb/s Out -     55.0 p/s In      65.0 p/s Out
  s1-eth5:     0.02 Mb/s In     0.97 Mb/s Out -     43.0 p/s In      53.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.92 Mb/s Out -     42.0 p/s In      48.0 p/s Out
1648366986 total:        3.26 Mb/s In     4.88 Mb/s Out -    323.0 p/s In     803.0 p/s Out
    ens4:     0.02 Mb/s In     1.74 Mb/s Out -     17.0 p/s In     507.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.71 Mb/s In     0.02 Mb/s Out -     42.0 p/s In      33.0 p/s Out
  s1-eth2:     1.45 Mb/s In     0.03 Mb/s Out -     70.0 p/s In      58.0 p/s Out
  s1-eth3:     1.01 Mb/s In     0.02 Mb/s Out -     54.0 p/s In      43.0 p/s Out
  s1-eth4:     0.02 Mb/s In     0.71 Mb/s Out -     36.0 p/s In      42.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.40 Mb/s Out -     60.0 p/s In      69.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.95 Mb/s Out -     44.0 p/s In      51.0 p/s Out
1648366987 total:        4.30 Mb/s In     4.26 Mb/s Out -    386.0 p/s In     385.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     11.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
