  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     407.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     408.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     407.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.78 Mb/s Out -    408.0 p/s In     422.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.80 Mb/s Out -    408.0 p/s In     423.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    407.0 p/s In     422.0 p/s Out
1648366325 total:       30.03 Mb/s In    30.04 Mb/s Out -   2504.0 p/s In    2506.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     14.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     408.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     408.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    407.0 p/s In     422.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.79 Mb/s Out -    408.0 p/s In     422.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.80 Mb/s Out -    409.0 p/s In     423.0 p/s Out
1648366326 total:       30.14 Mb/s In    30.09 Mb/s Out -   2535.0 p/s In    2534.0 p/s Out
    ens4:     0.08 Mb/s In     0.05 Mb/s Out -     45.0 p/s In      46.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     407.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     408.0 p/s Out
  s1-eth3:     9.81 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     406.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.81 Mb/s Out -    407.0 p/s In     423.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.79 Mb/s Out -    408.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    406.0 p/s In     422.0 p/s Out
1648366327 total:       30.02 Mb/s In    30.03 Mb/s Out -   2503.0 p/s In    2503.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     14.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     408.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     406.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     408.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.78 Mb/s Out -    409.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.80 Mb/s Out -    406.0 p/s In     423.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.79 Mb/s Out -    408.0 p/s In     422.0 p/s Out
1648366328 total:       30.03 Mb/s In    31.77 Mb/s Out -   2499.0 p/s In    2990.0 p/s Out
    ens4:     0.02 Mb/s In     1.74 Mb/s Out -     16.0 p/s In     505.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     406.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     406.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     406.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    405.0 p/s In     422.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    406.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.80 Mb/s Out -    406.0 p/s In     423.0 p/s Out
1648366329 total:       30.03 Mb/s In    30.05 Mb/s Out -   2509.0 p/s In    2513.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     15.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.78 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.22 Mb/s Out -    424.0 p/s In     408.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.79 Mb/s Out -    409.0 p/s In     422.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.79 Mb/s Out -    408.0 p/s In     423.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.79 Mb/s Out -    409.0 p/s In     422.0 p/s Out
1648366330 total:       30.02 Mb/s In    30.00 Mb/s Out -   2507.0 p/s In    2516.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     410.0 p/s Out
  s1-eth2:     9.77 Mb/s In     0.22 Mb/s Out -    421.0 p/s In     410.0 p/s Out
  s1-eth3:     9.80 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     409.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.78 Mb/s Out -    408.0 p/s In     423.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.78 Mb/s Out -    409.0 p/s In     423.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.77 Mb/s Out -    407.0 p/s In     424.0 p/s Out
1648366331 total:       30.03 Mb/s In    30.05 Mb/s Out -   2508.0 p/s In    2512.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     16.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     410.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.79 Mb/s Out -    409.0 p/s In     422.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.79 Mb/s Out -    409.0 p/s In     423.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.80 Mb/s Out -    408.0 p/s In     423.0 p/s Out
1648366332 total:       30.05 Mb/s In    31.77 Mb/s Out -   2516.0 p/s In    3037.0 p/s Out
    ens4:     0.02 Mb/s In     1.76 Mb/s Out -     16.0 p/s In     521.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.22 Mb/s Out -    424.0 p/s In     413.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.22 Mb/s Out -    424.0 p/s In     413.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     412.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.79 Mb/s Out -    410.0 p/s In     427.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.78 Mb/s Out -    410.0 p/s In     426.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.78 Mb/s Out -    409.0 p/s In     425.0 p/s Out
1648366333 total:       30.14 Mb/s In    30.14 Mb/s Out -   2531.0 p/s In    2540.0 p/s Out
    ens4:     0.09 Mb/s In     0.06 Mb/s Out -     30.0 p/s In      37.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     412.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     410.0 p/s Out
  s1-eth3:     9.81 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     411.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.80 Mb/s Out -    411.0 p/s In     424.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.81 Mb/s Out -    410.0 p/s In     423.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.81 Mb/s Out -    412.0 p/s In     423.0 p/s Out
1648366334 total:       30.03 Mb/s In    30.02 Mb/s Out -   2501.0 p/s In    2498.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
