  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.11 Mb/s In     0.00 Mb/s Out -      9.0 p/s In       5.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.08 Mb/s Out -      6.0 p/s In       7.0 p/s Out
1648366671 total:        0.49 Mb/s In     2.15 Mb/s Out -     69.0 p/s In     619.0 p/s Out
    ens4:     0.02 Mb/s In     1.77 Mb/s Out -     19.0 p/s In     576.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.12 Mb/s In     0.00 Mb/s Out -      9.0 p/s In       6.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.33 Mb/s In     0.01 Mb/s Out -     20.0 p/s In      14.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.10 Mb/s Out -      6.0 p/s In       7.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.01 Mb/s In     0.27 Mb/s Out -     15.0 p/s In      16.0 p/s Out
1648366672 total:        0.95 Mb/s In     0.91 Mb/s Out -    126.0 p/s In     122.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     15.0 p/s In      15.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.31 Mb/s In     0.01 Mb/s Out -     16.0 p/s In      11.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.60 Mb/s In     0.02 Mb/s Out -     44.0 p/s In      38.0 p/s Out
  s1-eth4:     0.01 Mb/s In     0.29 Mb/s Out -     12.0 p/s In      15.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.58 Mb/s Out -     39.0 p/s In      43.0 p/s Out
1648366673 total:        0.08 Mb/s In     0.08 Mb/s Out -     26.0 p/s In      24.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.06 Mb/s In     0.00 Mb/s Out -      5.0 p/s In       3.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.06 Mb/s Out -      4.0 p/s In       5.0 p/s Out
1648366674 total:        0.52 Mb/s In     0.46 Mb/s Out -     85.0 p/s In      76.0 p/s Out
    ens4:     0.03 Mb/s In     0.01 Mb/s Out -     16.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.02 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       1.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.45 Mb/s In     0.01 Mb/s Out -     35.0 p/s In      25.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.42 Mb/s Out -     31.0 p/s In      33.0 p/s Out
1648366675 total:        0.34 Mb/s In     1.98 Mb/s Out -     55.0 p/s In     541.0 p/s Out
    ens4:     0.02 Mb/s In     1.75 Mb/s Out -     16.0 p/s In     507.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.02 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       1.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.29 Mb/s In     0.01 Mb/s Out -     21.0 p/s In      16.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.01 Mb/s In     0.21 Mb/s Out -     15.0 p/s In      16.0 p/s Out
1648366676 total:        0.04 Mb/s In     0.03 Mb/s Out -     25.0 p/s In      29.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     18.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       2.0 p/s Out
  s1-eth2:     0.01 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth3:     0.01 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       1.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       2.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       3.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       4.0 p/s Out
1648366677 total:        0.56 Mb/s In     0.53 Mb/s Out -     91.0 p/s In      98.0 p/s Out
    ens4:     0.03 Mb/s In     0.02 Mb/s Out -     20.0 p/s In      21.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.04 Mb/s In     0.00 Mb/s Out -      3.0 p/s In       5.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth3:     0.47 Mb/s In     0.02 Mb/s Out -     34.0 p/s In      31.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.04 Mb/s Out -      3.0 p/s In       6.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.45 Mb/s Out -     29.0 p/s In      34.0 p/s Out
1648366678 total:        0.16 Mb/s In     0.11 Mb/s Out -     29.0 p/s In      27.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     16.0 p/s In      15.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth3:     0.14 Mb/s In     0.00 Mb/s Out -      8.0 p/s In       5.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.10 Mb/s Out -      5.0 p/s In       6.0 p/s Out
1648366679 total:        0.24 Mb/s In     0.16 Mb/s Out -     50.0 p/s In      50.0 p/s Out
    ens4:     0.09 Mb/s In     0.06 Mb/s Out -     31.0 p/s In      36.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.13 Mb/s In     0.00 Mb/s Out -     10.0 p/s In       6.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth3:     0.01 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.08 Mb/s Out -      7.0 p/s In       7.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       1.0 p/s Out
1648366680 total:        0.11 Mb/s In     1.85 Mb/s Out -     46.0 p/s In     453.0 p/s Out
    ens4:     0.03 Mb/s In     1.76 Mb/s Out -     35.0 p/s In     442.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
