1648367028 total:       15.57 Mb/s In    15.00 Mb/s Out -   1333.0 p/s In    1360.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     23.0 p/s In      29.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.47 Mb/s In     0.20 Mb/s Out -    333.0 p/s In     312.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      14.0 p/s Out
  s1-eth3:     7.67 Mb/s In     0.21 Mb/s Out -    347.0 p/s In     313.0 p/s Out
  s1-eth4:     0.20 Mb/s In     7.22 Mb/s Out -    312.0 p/s In     334.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      18.0 p/s Out
  s1-eth6:     0.21 Mb/s In     7.32 Mb/s Out -    316.0 p/s In     340.0 p/s Out
1648367029 total:       25.44 Mb/s In    24.56 Mb/s Out -   2114.0 p/s In    2132.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     20.0 p/s In      22.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.65 Mb/s In     0.25 Mb/s Out -    418.0 p/s In     390.0 p/s Out
  s1-eth2:     5.40 Mb/s In     0.15 Mb/s Out -    247.0 p/s In     234.0 p/s Out
  s1-eth3:     9.76 Mb/s In     0.24 Mb/s Out -    423.0 p/s In     399.0 p/s Out
  s1-eth4:     0.24 Mb/s In     9.28 Mb/s Out -    389.0 p/s In     415.0 p/s Out
  s1-eth5:     0.14 Mb/s In     5.16 Mb/s Out -    228.0 p/s In     246.0 p/s Out
  s1-eth6:     0.23 Mb/s In     9.45 Mb/s Out -    389.0 p/s In     426.0 p/s Out
1648367030 total:       29.44 Mb/s In    28.55 Mb/s Out -   2419.0 p/s In    2362.0 p/s Out
    ens4:     0.08 Mb/s In     0.05 Mb/s Out -     42.0 p/s In      44.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.64 Mb/s In     0.23 Mb/s Out -    415.0 p/s In     368.0 p/s Out
  s1-eth2:     9.50 Mb/s In     0.22 Mb/s Out -    410.0 p/s In     361.0 p/s Out
  s1-eth3:     9.53 Mb/s In     0.24 Mb/s Out -    412.0 p/s In     382.0 p/s Out
  s1-eth4:     0.23 Mb/s In     9.33 Mb/s Out -    374.0 p/s In     404.0 p/s Out
  s1-eth5:     0.23 Mb/s In     9.17 Mb/s Out -    378.0 p/s In     398.0 p/s Out
  s1-eth6:     0.24 Mb/s In     9.32 Mb/s Out -    388.0 p/s In     405.0 p/s Out
1648367031 total:       29.32 Mb/s In    28.64 Mb/s Out -   2401.0 p/s In    2408.0 p/s Out
    ens4:     0.02 Mb/s In     0.34 Mb/s Out -     20.0 p/s In     112.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.40 Mb/s In     0.22 Mb/s Out -    407.0 p/s In     360.0 p/s Out
  s1-eth2:     9.58 Mb/s In     0.23 Mb/s Out -    413.0 p/s In     376.0 p/s Out
  s1-eth3:     9.60 Mb/s In     0.23 Mb/s Out -    414.0 p/s In     368.0 p/s Out
  s1-eth4:     0.24 Mb/s In     9.16 Mb/s Out -    379.0 p/s In     397.0 p/s Out
  s1-eth5:     0.24 Mb/s In     9.28 Mb/s Out -    389.0 p/s In     400.0 p/s Out
  s1-eth6:     0.24 Mb/s In     9.16 Mb/s Out -    379.0 p/s In     395.0 p/s Out
1648367032 total:       29.59 Mb/s In    28.42 Mb/s Out -   2396.0 p/s In    2313.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     11.0 p/s In      10.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.54 Mb/s In     0.23 Mb/s Out -    412.0 p/s In     362.0 p/s Out
  s1-eth2:     9.77 Mb/s In     0.24 Mb/s Out -    422.0 p/s In     373.0 p/s Out
  s1-eth3:     9.55 Mb/s In     0.23 Mb/s Out -    412.0 p/s In     367.0 p/s Out
  s1-eth4:     0.23 Mb/s In     9.20 Mb/s Out -    376.0 p/s In     399.0 p/s Out
  s1-eth5:     0.24 Mb/s In     9.30 Mb/s Out -    381.0 p/s In     403.0 p/s Out
  s1-eth6:     0.24 Mb/s In     9.22 Mb/s Out -    382.0 p/s In     399.0 p/s Out
1648367033 total:       29.62 Mb/s In    28.82 Mb/s Out -   2422.0 p/s In    2379.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.24 Mb/s Out -    424.0 p/s In     390.0 p/s Out
  s1-eth2:     9.51 Mb/s In     0.24 Mb/s Out -    412.0 p/s In     372.0 p/s Out
  s1-eth3:     9.58 Mb/s In     0.24 Mb/s Out -    414.0 p/s In     375.0 p/s Out
  s1-eth4:     0.24 Mb/s In     9.57 Mb/s Out -    396.0 p/s In     417.0 p/s Out
  s1-eth5:     0.24 Mb/s In     9.24 Mb/s Out -    376.0 p/s In     403.0 p/s Out
  s1-eth6:     0.24 Mb/s In     9.29 Mb/s Out -    383.0 p/s In     406.0 p/s Out
1648367034 total:       29.42 Mb/s In    28.66 Mb/s Out -   2420.0 p/s In    2354.0 p/s Out
    ens4:     0.03 Mb/s In     0.02 Mb/s Out -     21.0 p/s In      19.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.53 Mb/s In     0.23 Mb/s Out -    412.0 p/s In     373.0 p/s Out
  s1-eth2:     9.41 Mb/s In     0.23 Mb/s Out -    408.0 p/s In     367.0 p/s Out
  s1-eth3:     9.72 Mb/s In     0.24 Mb/s Out -    420.0 p/s In     385.0 p/s Out
  s1-eth4:     0.24 Mb/s In     9.21 Mb/s Out -    384.0 p/s In     399.0 p/s Out
