1648366706 total:       14.27 Mb/s In    12.45 Mb/s Out -   1114.0 p/s In    1055.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     28.0 p/s In      32.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      11.0 p/s Out
  s1-eth2:     6.82 Mb/s In     0.14 Mb/s Out -    300.0 p/s In     201.0 p/s Out
  s1-eth3:     7.09 Mb/s In     0.16 Mb/s Out -    316.0 p/s In     232.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In      16.0 p/s Out
  s1-eth5:     0.16 Mb/s In     5.79 Mb/s Out -    221.0 p/s In     272.0 p/s Out
  s1-eth6:     0.17 Mb/s In     6.31 Mb/s Out -    246.0 p/s In     291.0 p/s Out
1648366707 total:       13.22 Mb/s In    11.99 Mb/s Out -   1042.0 p/s In    1005.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      19.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      4.0 p/s In      14.0 p/s Out
  s1-eth2:     5.41 Mb/s In     0.12 Mb/s Out -    236.0 p/s In     183.0 p/s Out
  s1-eth3:     7.48 Mb/s In     0.17 Mb/s Out -    327.0 p/s In     249.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In       9.0 p/s Out
  s1-eth5:     0.13 Mb/s In     4.92 Mb/s Out -    193.0 p/s In     225.0 p/s Out
  s1-eth6:     0.18 Mb/s In     6.73 Mb/s Out -    263.0 p/s In     306.0 p/s Out
1648366708 total:       15.92 Mb/s In    14.32 Mb/s Out -   1250.0 p/s In    1141.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     29.0 p/s In      32.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     3.24 Mb/s In     0.07 Mb/s Out -    151.0 p/s In     101.0 p/s Out
  s1-eth2:     5.37 Mb/s In     0.12 Mb/s Out -    231.0 p/s In     173.0 p/s Out
  s1-eth3:     6.91 Mb/s In     0.15 Mb/s Out -    299.0 p/s In     217.0 p/s Out
  s1-eth4:     0.08 Mb/s In     2.84 Mb/s Out -    116.0 p/s In     135.0 p/s Out
  s1-eth5:     0.13 Mb/s In     4.81 Mb/s Out -    181.0 p/s In     209.0 p/s Out
  s1-eth6:     0.17 Mb/s In     6.29 Mb/s Out -    243.0 p/s In     274.0 p/s Out
1648366709 total:       21.42 Mb/s In    19.36 Mb/s Out -   1666.0 p/s In    1520.0 p/s Out
    ens4:     0.11 Mb/s In     0.05 Mb/s Out -     41.0 p/s In      46.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.46 Mb/s In     0.20 Mb/s Out -    365.0 p/s In     272.0 p/s Out
  s1-eth2:     5.65 Mb/s In     0.12 Mb/s Out -    244.0 p/s In     174.0 p/s Out
  s1-eth3:     6.67 Mb/s In     0.15 Mb/s Out -    287.0 p/s In     215.0 p/s Out
  s1-eth4:     0.22 Mb/s In     7.66 Mb/s Out -    297.0 p/s In     331.0 p/s Out
  s1-eth5:     0.14 Mb/s In     5.14 Mb/s Out -    200.0 p/s In     222.0 p/s Out
  s1-eth6:     0.16 Mb/s In     6.03 Mb/s Out -    232.0 p/s In     260.0 p/s Out
1648366710 total:       17.61 Mb/s In    16.96 Mb/s Out -   1371.0 p/s In    1594.0 p/s Out
    ens4:     0.02 Mb/s In     1.23 Mb/s Out -     23.0 p/s In     363.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.47 Mb/s In     0.17 Mb/s Out -    323.0 p/s In     243.0 p/s Out
  s1-eth2:     4.69 Mb/s In     0.10 Mb/s Out -    203.0 p/s In     149.0 p/s Out
