1648366706 total:       14.27 Mb/s In    12.45 Mb/s Out -   1114.0 p/s In    1055.0 p/s Out
  s1-eth3:     5.02 Mb/s In     0.11 Mb/s Out -    219.0 p/s In     162.0 p/s Out
  s1-eth4:     0.19 Mb/s In     6.64 Mb/s Out -    269.0 p/s In     292.0 p/s Out
  s1-eth5:     0.11 Mb/s In     4.27 Mb/s Out -    162.0 p/s In     188.0 p/s Out
  s1-eth6:     0.12 Mb/s In     4.45 Mb/s Out -    172.0 p/s In     197.0 p/s Out
1648366711 total:       16.87 Mb/s In    15.48 Mb/s Out -   1318.0 p/s In    1212.0 p/s Out
    ens4:     0.01 Mb/s In     0.03 Mb/s Out -     21.0 p/s In      23.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.31 Mb/s In     0.16 Mb/s Out -    315.0 p/s In     227.0 p/s Out
  s1-eth2:     4.48 Mb/s In     0.10 Mb/s Out -    195.0 p/s In     157.0 p/s Out
  s1-eth3:     4.67 Mb/s In     0.10 Mb/s Out -    204.0 p/s In     148.0 p/s Out
  s1-eth4:     0.18 Mb/s In     6.54 Mb/s Out -    256.0 p/s In     282.0 p/s Out
  s1-eth5:     0.11 Mb/s In     4.25 Mb/s Out -    166.0 p/s In     186.0 p/s Out
  s1-eth6:     0.10 Mb/s In     4.31 Mb/s Out -    161.0 p/s In     189.0 p/s Out
1648366712 total:       15.27 Mb/s In    13.65 Mb/s Out -   1176.0 p/s In    1053.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     5.43 Mb/s In     0.11 Mb/s Out -    234.0 p/s In     163.0 p/s Out
  s1-eth2:     4.17 Mb/s In     0.08 Mb/s Out -    180.0 p/s In     121.0 p/s Out
  s1-eth3:     5.31 Mb/s In     0.12 Mb/s Out -    232.0 p/s In     176.0 p/s Out
  s1-eth4:     0.13 Mb/s In     4.71 Mb/s Out -    181.0 p/s In     203.0 p/s Out
  s1-eth5:     0.09 Mb/s In     3.67 Mb/s Out -    137.0 p/s In     158.0 p/s Out
  s1-eth6:     0.13 Mb/s In     4.94 Mb/s Out -    195.0 p/s In     216.0 p/s Out
1648366713 total:       14.36 Mb/s In    12.90 Mb/s Out -   1114.0 p/s In     994.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     14.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     5.51 Mb/s In     0.12 Mb/s Out -    239.0 p/s In     173.0 p/s Out
  s1-eth2:     3.38 Mb/s In     0.07 Mb/s Out -    146.0 p/s In     105.0 p/s Out
  s1-eth3:     5.12 Mb/s In     0.11 Mb/s Out -    223.0 p/s In     155.0 p/s Out
  s1-eth4:     0.13 Mb/s In     5.03 Mb/s Out -    194.0 p/s In     218.0 p/s Out
  s1-eth5:     0.08 Mb/s In     3.09 Mb/s Out -    122.0 p/s In     134.0 p/s Out
  s1-eth6:     0.12 Mb/s In     4.47 Mb/s Out -    176.0 p/s In     195.0 p/s Out
1648366714 total:       13.31 Mb/s In    13.63 Mb/s Out -   1048.0 p/s In    1436.0 p/s Out
    ens4:     0.02 Mb/s In     1.75 Mb/s Out -     19.0 p/s In     511.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     5.25 Mb/s In     0.11 Mb/s Out -    228.0 p/s In     164.0 p/s Out
  s1-eth2:     3.20 Mb/s In     0.06 Mb/s Out -    142.0 p/s In     101.0 p/s Out
  s1-eth3:     4.54 Mb/s In     0.10 Mb/s Out -    197.0 p/s In     152.0 p/s Out
  s1-eth4:     0.12 Mb/s In     4.62 Mb/s Out -    180.0 p/s In     202.0 p/s Out
  s1-eth5:     0.07 Mb/s In     2.83 Mb/s Out -    115.0 p/s In     125.0 p/s Out
  s1-eth6:     0.11 Mb/s In     4.15 Mb/s Out -    167.0 p/s In     181.0 p/s Out
1648366715 total:       12.48 Mb/s In    11.10 Mb/s Out -    962.0 p/s In     865.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      21.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     3.97 Mb/s In     0.08 Mb/s Out -    176.0 p/s In     121.0 p/s Out
  s1-eth2:     3.07 Mb/s In     0.06 Mb/s Out -    133.0 p/s In      91.0 p/s Out
  s1-eth3:     5.14 Mb/s In     0.11 Mb/s Out -    221.0 p/s In     161.0 p/s Out
  s1-eth4:     0.09 Mb/s In     3.59 Mb/s Out -    138.0 p/s In     159.0 p/s Out
  s1-eth5:     0.07 Mb/s In     2.76 Mb/s Out -    108.0 p/s In     119.0 p/s Out
  s1-eth6:     0.11 Mb/s In     4.48 Mb/s Out -    169.0 p/s In     193.0 p/s Out
1648366716 total:       11.37 Mb/s In    10.21 Mb/s Out -    901.0 p/s In     814.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     27.0 p/s In      27.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     4.36 Mb/s In     0.09 Mb/s Out -    188.0 p/s In     129.0 p/s Out
  s1-eth2:     1.94 Mb/s In     0.04 Mb/s Out -     85.0 p/s In      69.0 p/s Out
  s1-eth3:     4.79 Mb/s In     0.10 Mb/s Out -    210.0 p/s In     157.0 p/s Out
  s1-eth4:     0.10 Mb/s In     3.78 Mb/s Out -    144.0 p/s In     163.0 p/s Out
  s1-eth5:     0.04 Mb/s In     1.77 Mb/s Out -     74.0 p/s In      77.0 p/s Out
  s1-eth6:     0.11 Mb/s In     4.40 Mb/s Out -    173.0 p/s In     192.0 p/s Out
1648366717 total:       12.95 Mb/s In    11.81 Mb/s Out -   1018.0 p/s In     925.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     4.83 Mb/s In     0.10 Mb/s Out -    210.0 p/s In     163.0 p/s Out
  s1-eth2:     2.33 Mb/s In     0.05 Mb/s Out -    100.0 p/s In      74.0 p/s Out
  s1-eth3:     5.48 Mb/s In     0.12 Mb/s Out -    236.0 p/s In     171.0 p/s Out
  s1-eth4:     0.11 Mb/s In     4.49 Mb/s Out -    182.0 p/s In     196.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.06 Mb/s Out -     83.0 p/s In      89.0 p/s Out
  s1-eth6:     0.13 Mb/s In     4.97 Mb/s Out -    189.0 p/s In     214.0 p/s Out
1648366718 total:       12.01 Mb/s In    10.60 Mb/s Out -    937.0 p/s In     842.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     4.59 Mb/s In     0.10 Mb/s Out -    198.0 p/s In     145.0 p/s Out
  s1-eth2:     2.31 Mb/s In     0.04 Mb/s Out -    101.0 p/s In      71.0 p/s Out
  s1-eth3:     4.82 Mb/s In     0.10 Mb/s Out -    207.0 p/s In     155.0 p/s Out
  s1-eth4:     0.11 Mb/s In     3.95 Mb/s Out -    157.0 p/s In     174.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.06 Mb/s Out -     80.0 p/s In      93.0 p/s Out
  s1-eth6:     0.12 Mb/s In     4.33 Mb/s Out -    177.0 p/s In     188.0 p/s Out
1648366719 total:       12.55 Mb/s In    11.27 Mb/s Out -    964.0 p/s In     881.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     15.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     4.31 Mb/s In     0.08 Mb/s Out -    186.0 p/s In     130.0 p/s Out
  s1-eth2:     2.94 Mb/s In     0.06 Mb/s Out -    132.0 p/s In      96.0 p/s Out
  s1-eth3:     5.01 Mb/s In     0.11 Mb/s Out -    217.0 p/s In     157.0 p/s Out
  s1-eth4:     0.09 Mb/s In     3.82 Mb/s Out -    140.0 p/s In     165.0 p/s Out
  s1-eth5:     0.07 Mb/s In     2.72 Mb/s Out -    107.0 p/s In     123.0 p/s Out
  s1-eth6:     0.11 Mb/s In     4.47 Mb/s Out -    167.0 p/s In     194.0 p/s Out
1648366720 total:       10.95 Mb/s In    11.47 Mb/s Out -    845.0 p/s In    1258.0 p/s Out
    ens4:     0.02 Mb/s In     1.75 Mb/s Out -     17.0 p/s In     508.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     3.64 Mb/s In     0.08 Mb/s Out -    156.0 p/s In     120.0 p/s Out
  s1-eth2:     2.26 Mb/s In     0.05 Mb/s Out -     98.0 p/s In      73.0 p/s Out
  s1-eth3:     4.79 Mb/s In     0.10 Mb/s Out -    206.0 p/s In     145.0 p/s Out
  s1-eth4:     0.08 Mb/s In     3.35 Mb/s Out -    130.0 p/s In     144.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.05 Mb/s Out -     81.0 p/s In      90.0 p/s Out
  s1-eth6:     0.11 Mb/s In     4.10 Mb/s Out -    157.0 p/s In     178.0 p/s Out
1648366721 total:       11.18 Mb/s In    10.05 Mb/s Out -    873.0 p/s In     786.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      21.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     4.09 Mb/s In     0.09 Mb/s Out -    177.0 p/s In     135.0 p/s Out
  s1-eth2:     2.35 Mb/s In     0.04 Mb/s Out -    101.0 p/s In      67.0 p/s Out
  s1-eth3:     4.48 Mb/s In     0.09 Mb/s Out -    193.0 p/s In     140.0 p/s Out
  s1-eth4:     0.10 Mb/s In     3.62 Mb/s Out -    149.0 p/s In     156.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.11 Mb/s Out -     80.0 p/s In      91.0 p/s Out
  s1-eth6:     0.10 Mb/s In     4.08 Mb/s Out -    156.0 p/s In     176.0 p/s Out
1648366722 total:       10.51 Mb/s In     9.76 Mb/s Out -    828.0 p/s In     762.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     21.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     3.45 Mb/s In     0.07 Mb/s Out -    149.0 p/s In     110.0 p/s Out
  s1-eth2:     2.58 Mb/s In     0.05 Mb/s Out -    111.0 p/s In      85.0 p/s Out
  s1-eth3:     4.23 Mb/s In     0.09 Mb/s Out -    184.0 p/s In     134.0 p/s Out
  s1-eth4:     0.08 Mb/s In     3.24 Mb/s Out -    123.0 p/s In     140.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.37 Mb/s Out -     91.0 p/s In     102.0 p/s Out
  s1-eth6:     0.10 Mb/s In     3.92 Mb/s Out -    149.0 p/s In     171.0 p/s Out
1648366723 total:        9.30 Mb/s In     8.19 Mb/s Out -    720.0 p/s In     636.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     3.31 Mb/s In     0.07 Mb/s Out -    142.0 p/s In     104.0 p/s Out
  s1-eth2:     2.70 Mb/s In     0.05 Mb/s Out -    116.0 p/s In      76.0 p/s Out
  s1-eth3:     3.08 Mb/s In     0.06 Mb/s Out -    135.0 p/s In      91.0 p/s Out
  s1-eth4:     0.07 Mb/s In     2.95 Mb/s Out -    116.0 p/s In     127.0 p/s Out
  s1-eth5:     0.06 Mb/s In     2.25 Mb/s Out -     87.0 p/s In      97.0 p/s Out
  s1-eth6:     0.07 Mb/s In     2.80 Mb/s Out -    106.0 p/s In     123.0 p/s Out
1648366724 total:        6.45 Mb/s In     7.54 Mb/s Out -    522.0 p/s In     958.0 p/s Out
    ens4:     0.02 Mb/s In     1.75 Mb/s Out -     22.0 p/s In     511.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     3.27 Mb/s In     0.07 Mb/s Out -    141.0 p/s In     108.0 p/s Out
  s1-eth2:     2.32 Mb/s In     0.04 Mb/s Out -    100.0 p/s In      72.0 p/s Out
  s1-eth3:     0.70 Mb/s In     0.01 Mb/s Out -     33.0 p/s In      20.0 p/s Out
  s1-eth4:     0.08 Mb/s In     3.02 Mb/s Out -    121.0 p/s In     130.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.06 Mb/s Out -     81.0 p/s In      89.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.58 Mb/s Out -     24.0 p/s In      28.0 p/s Out
1648366725 total:        6.24 Mb/s In     5.55 Mb/s Out -    493.0 p/s In     443.0 p/s Out
    ens4:     0.01 Mb/s In     0.03 Mb/s Out -     19.0 p/s In      22.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.96 Mb/s In     0.04 Mb/s Out -     85.0 p/s In      63.0 p/s Out
  s1-eth2:     2.10 Mb/s In     0.04 Mb/s Out -     90.0 p/s In      57.0 p/s Out
  s1-eth3:     2.04 Mb/s In     0.04 Mb/s Out -     92.0 p/s In      64.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.65 Mb/s Out -     66.0 p/s In      72.0 p/s Out
  s1-eth5:     0.04 Mb/s In     1.91 Mb/s Out -     68.0 p/s In      82.0 p/s Out
  s1-eth6:     0.05 Mb/s In     1.85 Mb/s Out -     73.0 p/s In      83.0 p/s Out
1648366726 total:        5.82 Mb/s In     5.25 Mb/s Out -    467.0 p/s In     418.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     22.0 p/s In      22.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.36 Mb/s In     0.04 Mb/s Out -    103.0 p/s In      72.0 p/s Out
  s1-eth2:     1.72 Mb/s In     0.03 Mb/s Out -     74.0 p/s In      53.0 p/s Out
  s1-eth3:     1.60 Mb/s In     0.03 Mb/s Out -     70.0 p/s In      48.0 p/s Out
  s1-eth4:     0.05 Mb/s In     2.17 Mb/s Out -     84.0 p/s In      95.0 p/s Out
  s1-eth5:     0.04 Mb/s In     1.58 Mb/s Out -     61.0 p/s In      68.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.38 Mb/s Out -     53.0 p/s In      60.0 p/s Out
1648366727 total:        6.22 Mb/s In     5.50 Mb/s Out -    488.0 p/s In     436.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     20.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.68 Mb/s In     0.05 Mb/s Out -    115.0 p/s In      84.0 p/s Out
  s1-eth2:     1.55 Mb/s In     0.03 Mb/s Out -     67.0 p/s In      48.0 p/s Out
  s1-eth3:     1.85 Mb/s In     0.03 Mb/s Out -     80.0 p/s In      54.0 p/s Out
  s1-eth4:     0.06 Mb/s In     2.42 Mb/s Out -     93.0 p/s In     104.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.43 Mb/s Out -     55.0 p/s In      62.0 p/s Out
  s1-eth6:     0.04 Mb/s In     1.52 Mb/s Out -     58.0 p/s In      66.0 p/s Out
1648366728 total:        5.19 Mb/s In     6.43 Mb/s Out -    419.0 p/s In     877.0 p/s Out
    ens4:     0.02 Mb/s In     1.76 Mb/s Out -     22.0 p/s In     518.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.15 Mb/s In     0.04 Mb/s Out -     93.0 p/s In      65.0 p/s Out
  s1-eth2:     1.58 Mb/s In     0.03 Mb/s Out -     70.0 p/s In      53.0 p/s Out
  s1-eth3:     1.34 Mb/s In     0.03 Mb/s Out -     58.0 p/s In      42.0 p/s Out
  s1-eth4:     0.05 Mb/s In     1.96 Mb/s Out -     76.0 p/s In      85.0 p/s Out
  s1-eth5:     0.03 Mb/s In     1.39 Mb/s Out -     57.0 p/s In      61.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.23 Mb/s Out -     43.0 p/s In      53.0 p/s Out
1648366729 total:        5.06 Mb/s In     4.56 Mb/s Out -    407.0 p/s In     377.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      24.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     2.19 Mb/s In     0.04 Mb/s Out -     94.0 p/s In      70.0 p/s Out
  s1-eth2:     2.05 Mb/s In     0.04 Mb/s Out -     88.0 p/s In      67.0 p/s Out
  s1-eth3:     0.70 Mb/s In     0.01 Mb/s Out -     32.0 p/s In      23.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.93 Mb/s Out -     74.0 p/s In      83.0 p/s Out
  s1-eth5:     0.04 Mb/s In     1.88 Mb/s Out -     73.0 p/s In      81.0 p/s Out
  s1-eth6:     0.02 Mb/s In     0.63 Mb/s Out -     27.0 p/s In      29.0 p/s Out
1648366730 total:        6.00 Mb/s In     5.37 Mb/s Out -    486.0 p/s In     437.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     21.0 p/s In      21.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.72 Mb/s In     0.03 Mb/s Out -     74.0 p/s In      56.0 p/s Out
  s1-eth2:     2.70 Mb/s In     0.05 Mb/s Out -    116.0 p/s In      85.0 p/s Out
  s1-eth3:     1.44 Mb/s In     0.03 Mb/s Out -     65.0 p/s In      47.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.54 Mb/s Out -     59.0 p/s In      66.0 p/s Out
  s1-eth5:     0.06 Mb/s In     2.37 Mb/s Out -     96.0 p/s In     102.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.32 Mb/s Out -     55.0 p/s In      60.0 p/s Out
1648366731 total:        5.80 Mb/s In     5.15 Mb/s Out -    468.0 p/s In     422.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     22.0 p/s In      21.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.92 Mb/s In     0.04 Mb/s Out -     84.0 p/s In      63.0 p/s Out
  s1-eth2:     2.30 Mb/s In     0.04 Mb/s Out -     99.0 p/s In      72.0 p/s Out
  s1-eth3:     1.45 Mb/s In     0.03 Mb/s Out -     62.0 p/s In      47.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.78 Mb/s Out -     70.0 p/s In      79.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.04 Mb/s Out -     81.0 p/s In      88.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.21 Mb/s Out -     50.0 p/s In      52.0 p/s Out
1648366732 total:        5.81 Mb/s In     5.29 Mb/s Out -    471.0 p/s In     434.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     20.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.83 Mb/s In     0.04 Mb/s Out -     79.0 p/s In      60.0 p/s Out
  s1-eth2:     2.36 Mb/s In     0.05 Mb/s Out -    103.0 p/s In      77.0 p/s Out
  s1-eth3:     1.49 Mb/s In     0.03 Mb/s Out -     65.0 p/s In      49.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.54 Mb/s Out -     62.0 p/s In      68.0 p/s Out
  s1-eth5:     0.05 Mb/s In     2.24 Mb/s Out -     88.0 p/s In      98.0 p/s Out
  s1-eth6:     0.03 Mb/s In     1.38 Mb/s Out -     54.0 p/s In      62.0 p/s Out
1648366733 total:        4.47 Mb/s In     3.94 Mb/s Out -    361.0 p/s In     325.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      19.0 p/s Out
